#,Song,Artist,Popularity,Genres,Parent Genres,Album,Album Date,Time,Dance,Energy,Acoustic,Instrumental,Happy,Speech,Live,Loud,Tempo,Key,Camelot,Time Signature,Added At,Spotify Track Id
1,Light Switch,Charlie Puth,91,"dance pop, pop, viral pop",Pop,Light Switch,2022-01-20,3:05,69,63,11,0,91,31,9,-6,184,F#/G♭ Major,2B,4,2022-02-11,1BSMpVGWs3v5BZKnAQziAc
2,Lookalike,Conan Gray,73,"bedroom pop, indie pop, pop","Pop, Rock",Sunset Season,2018-11-16,3:40,43,30,77,0,17,4,15,-10,122,A#/B♭ Major,6B,4,2022-02-11,4K3gM7kzX4POAfrs71HomN
3,The Very First Night (Taylor's Version) (From The Vault),Taylor Swift,78,pop,Pop,Red (Taylor's Version),2021-11-12,3:20,68,73,0,0,58,3,10,-5,121,G Major,9B,4,2022-02-11,6pYNq0ZwpPVazKzsqpf0G8
4,I Still Haven't Found What I'm Looking For,U2,0,"irish rock, permanent wave, rock","World/Traditional, Rock",The Joshua Tree,1987-03-10,4:37,56,63,2,0,68,4,7,-13,101,C♯/D♭ Major,3B,4,2022-02-11,5MEMiHV54Y5ODV1zvEPsyp
5,People Watching,Conan Gray,81,"bedroom pop, indie pop, pop","Pop, Rock",People Watching,2021-07-15,2:38,53,59,39,0,54,5,31,-7,126,F Major,7B,4,2022-02-11,4JeOesjcWWlprTAvucDSJX
6,Wildest Dreams (Taylor's Version),Taylor Swift,86,pop,Pop,Wildest Dreams (Taylor's Version),2021-09-17,3:40,58,67,4,0,50,6,13,-7,140,G#/A♭ Major,4B,4,2022-02-11,1Ov37jtRQ2YNAe8HzfczkL
7,What A Time (feat. Niall Horan),"Julia Michaels,Niall Horan",85,"alt z, dance pop, electropop, pop, post-teen pop",Pop,Inner Monologue Part 1,2019-01-24,2:53,52,47,66,0,39,3,9,-6,133,C Major,8B,4,2022-02-11,5WtfUKzXircvW8l5aaVZWT
8,Telepath,Conan Gray,76,"bedroom pop, indie pop, pop","Pop, Rock",Telepath,2021-10-29,3:14,61,82,0,0,74,5,7,-5,75,A Major,11B,4,2022-02-11,3Z39gbqdaGL3WJXBG0gcuE
9,Red (Taylor's Version),Taylor Swift,82,pop,Pop,Red (Taylor's Version),2021-11-12,3:43,52,78,0,0,41,4,8,-5,125,C♯/D♭ Minor,12A,4,2022-02-11,4OAuvHryIVv4kMDNSLuPt6
10,hope ur ok,Olivia Rodrigo,79,pop,Pop,SOUR,2021-05-21,3:29,44,30,39,0,17,6,10,-12,77,C Major,8B,4,2022-02-11,1zejeOnykpCoyVSit6Bwp3
11,Secret,Joshua Bassett,72,"alt z, pop, post-teen pop, social media pop",Pop,Crisis / Secret / Set Me Free,2021-12-03,3:12,61,82,3,0,59,6,8,-6,145,D Major,10B,4,2022-02-11,77Gfhrr1Uh9Pv57MUUmVuY
12,I Knew You Were Trouble (Taylor's Version),Taylor Swift,77,pop,Pop,Red (Taylor's Version),2021-11-12,3:39,58,56,1,0,77,3,6,-6,154,F#/G♭ Major,2B,4,2022-02-11,6AtZLIzUINvExIUy4QhdjP
13,Happier Than Ever - Edit,Billie Eilish,87,"art pop, electropop, pop",Pop,Happier Than Ever (Edit),2021-07-28,2:31,33,60,5,0,13,4,21,-6,162,C Major,8B,3,2022-02-11,32BeYxKPrig1LefHsC0Xuo
14,Wish You Were Sober,Conan Gray,74,"bedroom pop, indie pop, pop","Pop, Rock",Kid Krow,2020-03-20,2:48,70,73,2,0,70,5,17,-5,91,D Major,10B,4,2022-02-11,0kn2gu8Pd03DiYHzRvX2Xk
